sku; name; inspiration; gender; family; notes_top; notes_heart; notes_base; description; photo; price_110; stock_110; price_50; stock_50; price_10; stock_10; tag; intensity; occasion; featured
-;;212 VIP - CH;FEMENINO;;;;;;212 vip;90;2;55;10;20;10;;;;
-;;ACQUA DI GIO WOMAN - GIORGIO ARMANI;FEMENINO;;;;;;Acqua di Gio Woman;90;2;55;10;20;10;;;;
-;;BAEDEE AL OUD AMETHYST - LATTAFA;FEMENINO;;;;;;Amethyst;90;2;55;10;20;10;;;;
-;;BACCARAT ROUGE 540 - FRANCIS KURKDJIAN;FEMENINO;;;;;;Baccarat Rouge 540;90;2;55;10;20;10;;;;
-;;BE DELICIOUS - DKNY;FEMENINO;;;;;;Be Delicious;90;2;55;10;20;10;;;;
-;;BLACK OPIUM OVER RED - YVES SAINT LAUREN;FEMENINO;;;;;;Black Opium Over Red;90;2;55;10;20;10;;;;
-;;CAN CAN - PARIS HILTON;FEMENINO;;;;;;Can Can;90;2;55;10;20;10;;;;
-;;CELESTE - RALPH;FEMENINO;;;;;;Celeste;90;2;55;10;20;10;;;;
-;;CLOUD - ARIANA GRANDE;FEMENINO;;;;;;Cloud;90;2;55;10;20;10;;;;
-;;ESCAPE - CALVIN KLEIN;FEMENINO;;;;;;Escape;90;2;55;10;20;10;;;;
-;;BORN IN ROMA EXTRADOSE DONNA - VALENTINO;FEMENINO;;;;;;Extradose Donna;90;2;55;10;20;10;;;;
-;;FAME - PACO RABANNE;FEMENINO;;;;;;Fame;90;2;55;10;20;10;;;;
-;;FANTASY - BRITNEY;FEMENINO;;;;;;Fantasy;90;2;55;10;20;10;;;;
-;;PARIS HILTON FOR WOMEN - PARIS HILTON;FEMENINO;;;;;;For Women;90;2;55;10;20;10;;;;
-;;GOOD GIRL SUPREME - CH;FEMENINO;;;;;;Good Girl Supreme;90;2;55;10;20;10;;;;
-;;GOOD GIRL - CH;FEMENINO;;;;;;Good Girl;90;2;55;10;20;10;;;;
-;;HEIRESS - PARIS HILTON;FEMENINO;;;;;;Heiress;90;2;55;10;20;10;;;;
-;;HER CONFESSION - LATTAFA;FEMENINO;;;;;;Her Confession;90;2;55;10;20;10;;;;
-;;J´ADORE - DIOR;FEMENINO;;;;;;Jadore;90;2;55;10;20;10;;;;
-;;LA VIE EST BELLE - LANCOME;FEMENINO;;;;;;La vie est belle;90;2;55;10;20;10;;;;
-;;LADY MILLION - PACO RABANNE;FEMENINO;;;;;;Lady Million;90;2;55;10;20;10;;;;
-;;LIGHT BLUE - DOLCE&GABBANA;FEMENINO;;;;;;Light Blue Woman;90;2;55;10;20;10;;;;
-;;MISS DIOR (2012) - DIOR;FEMENINO;;;;;;Miss Dior;90;2;55;10;20;10;;;;
-;;MY WAY - GIORGIO ARMANI;FEMENINO;;;;;;My Way;90;2;55;10;20;10;;;;
-;;POISON GIRL - DIOR;FEMENINO;;;;;;Posion Girl;90;2;55;10;20;10;;;;
-;;SCANDAL WOMAN - JEAN PAUL GAULTIER;FEMENINO;;;;;;Scandal Woman;90;2;55;10;20;10;;;;
-;;SWEET LIKE CANDY - ARIANA GRANDE;FEMENINO;;;;;;Sweet Like Candy;90;2;55;10;20;10;;;;
-;;YARA ELIXIR - LATTAFA;FEMENINO;;;;;;Yara Elixir;90;2;55;10;20;10;;;;
-;;YARA - LATTAFA;FEMENINO;;;;;;Yara;90;2;55;10;20;10;;;;
-;;YUM BOUJEE MARSHMALLAW - KAYALI;FEMENINO;;;;;;Yum Boujee Marshmellow;90;2;55;10;20;10;;;;
-;;9 PM ELIXIR - AFNAN;MASCULINO;;;;;;9 PM Elixir;90;2;55;10;20;10;;;;
-;;9 PM - AFNAN;MASCULINO;;;;;;9 PM;90;2;55;10;20;10;;;;
-;;212 VIP BLACK - CH;MASCULINO;;;;;;212 Vip Black;90;2;55;10;20;10;;;;
-;;ABSOLU AVENTUS - CREED;MASCULINO;;;;;;Absolu Aventus;90;2;55;10;20;10;;;;
-;;ACQUA DI GIO PROFONDO - GIORGIO ARMANI;MASCULINO;;;;;;Acqua Di Gio Profondo;90;2;55;10;20;10;;;;
-;;ACQUA DI GIO - GIORGIO ARMANI;MASCULINO;;;;;;Acqua Di Gio;90;2;55;10;20;10;;;;
-;;ASAD - LATTAFA;MASCULINO;;;;;;Asad;90;2;55;10;20;10;;;;
-;;AVENTUS - CREED;MASCULINO;;;;;;Aventus;90;2;55;10;20;10;;;;
-;;AZZARO POUR HOMME - AZZARO;MASCULINO;;;;;;Azzaro Pour Homme;90;2;55;10;20;10;;;;
-;;BAD BOY - CAROLINA HERRERA;MASCULINO;;;;;;Bad Boy;90;2;55;10;20;10;;;;
-;;BLACK XS - PACO RABANNE;MASCULINO;;;;;;Black XS;90;2;55;10;20;10;;;;
-;;BORN IN ROMA UOMO INTENSE - VALENTINO;MASCULINO;;;;;;Born In Roma Intense;90;2;55;10;20;10;;;;
-;;BOSS BOTTLED ELIXIR - BOSS;MASCULINO;;;;;;Boss Botled Elixir;90;2;55;10;20;10;;;;
-;;BOSS THE SCENT ELIXIR FOR HIM - BOSS;MASCULINO;;;;;;Boss The Scent Elixir;90;2;55;10;20;10;;;;
-;;ERBA PURA - XERJOFF;MASCULINO;;;;;;Erba Pura;90;2;55;10;20;10;;;;
-;;EROS FLAME - VERSACE;MASCULINO;;;;;;Eros Flame;90;2;55;10;20;10;;;;
-;;EROS - VERSACE;MASCULINO;;;;;;Eros;90;2;55;10;20;10;;;;
-;;BORN IN ROMA UOMO EXTRADOSE - VALENTINO;MASCULINO;;;;;;Extradose Uomo;90;2;55;10;20;10;;;;
-;;FAHRENHEIT - DIOR;MASCULINO;;;;;;Fahrenheit;90;2;55;10;20;10;;;;
-;;BADE´E AL OUD HONOR & GLORY - LATTAFA;MASCULINO;;;;;;Honor & Glory;90;2;55;10;20;10;;;;
-;;INVICTUS INTENSE - PACO RABANNE;MASCULINO;;;;;;Invictus Intense;90;2;55;10;20;10;;;;
-;;INVICTUS VICTORY ELIXIR - PACO RABANNE;MASCULINO;;;;;;Invictus Victory Elixir;90;2;55;10;20;10;;;;
-;;INVICTUS - PACO RABANNE;MASCULINO;;;;;;Invictus;90;2;55;10;20;10;;;;
-;;KHAMRAH - LATTAFA;MASCULINO;;;;;;Khamrah;90;2;55;10;20;10;;;;
-;;KING - BHARARA;MASCULINO;;;;;;King Bharara;90;2;55;10;20;10;;;;
-;;LACOSTE INTENSE - LACOSTE;MASCULINO;;;;;;Lacoste Intense;90;2;55;10;20;10;;;;
-;;LE MALE ELIXIR - JEAN PAUL GAULTIER;MASCULINO;;;;;;Le Male Elixir;90;2;55;10;20;10;;;;
-;;LE MALE - JEAN PAUL GAULTIER;MASCULINO;;;;;;Le Male;90;2;55;10;20;10;;;;
-;;ONE MILLION ELIXIR - PACO RABANNE;MASCULINO;;;;;;One Million Elixir;90;2;55;10;20;10;;;;
-;;ONE MILLION - PACO RABANNE;MASCULINO;;;;;;One Million;90;2;55;10;20;10;;;;
-;;PACO RABANNE POUR HOMME - PACO RABANNE;MASCULINO;;;;;;Paco Men Pour Homme;90;2;55;10;20;10;;;;
-;;LE BEAU PARADISE GARDEN - JEAN PAUL GAULTIER;MASCULINO;;;;;;Paradise Garden;90;2;55;10;20;10;;;;
-;;POLO BLUE - RALPH LAUREN;MASCULINO;;;;;;Polo Blue;90;2;55;10;20;10;;;;
;;SAUVAGE - DIOR;MASCULINO;;;;;;Sauvage;;;;;;;;;;
